,id,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,review_per_month
0,3781,HARBORSIDE-Walk to subway,East Boston,42.36413,-71.02991,Entire home/apt,184.68,29,26,2024-08-09,0.23,1,292,1,NA,0.23
1,5506,** Fort Hill Inn Private! Minutes to center!**,Roxbury,42.32844,-71.09581,Entire home/apt,112.0,3,132,2024-10-19,0.69,10,148,10,STR-490093,0.69
2,6695,"Fort Hill Inn *Sunny* 1 bedroom, condo duplex",Roxbury,42.32802,-71.09387,Entire home/apt,122.0,3,135,2024-11-11,0.72,10,148,8,STR-491702,0.72
3,8789,Curved Glass Studio/1bd facing Park,Beacon Hill,42.35867,-71.06307,Entire home/apt,125.0,91,29,2024-05-15,0.23,4,233,1,NA,0.23
4,10811,"Back Bay Apt Studio-3 blocks to Pru center & ""T""",Back Bay,42.35173,-71.08685,Entire home/apt,110.0,91,9,2019-07-22,0.08,13,273,0,NA,0.08
5,10813,A Brownstone -close to subway-colleges-Newbury St-,Back Bay,42.35061,-71.08787,Entire home/apt,100.0,32,5,2023-11-19,0.07,13,173,0,NA,0.07
6,10986,North End (Waterfront area)  CLOSE TO MGH & SUBWAY,North End,42.36377,-71.05206,Entire home/apt,184.68,32,1,2024-01-05,0.09,13,364,1,NA,0.09
7,18711,230B1 | The Dorset Redline | 3BR 1BA w/AC | Privat,Dorchester,42.32212,-71.06096,Entire home/apt,143.0,30,52,2023-08-19,0.29,38,123,0,NA,0.29
8,29765,Moroccan Decor Suite,Charlestown,42.37754,-71.06642,Entire home/apt,243.0,2,103,2024-10-27,0.58,1,3,2,STR-454024,0.58
9,40601,Private room & bath - Jamaica Plain,Jamaica Plain,42.31347,-71.11082,Private room,100.0,29,102,2024-12-11,0.59,1,354,4,STR-551851,0.59
10,45987,Garden Studio,Charlestown,42.37424,-71.06081,Entire home/apt,100.0,29,141,2024-11-14,0.81,1,90,4,STR-409822,0.81
11,47521,"Private Room, shared bath in Victorian House/ 1",Dorchester,42.29871,-71.05954,Private room,67.0,1,334,2024-09-02,1.92,8,365,1,STR-492781,1.92
12,60029,Room in geographical heart of Hub,Roxbury,42.32546,-71.08894,Private room,80.0,29,145,2024-02-29,0.85,5,120,1,STR-415714,0.85
13,67774,Corner 1 bed facing Golden Dome,Downtown,42.35689,-71.06206,Entire home/apt,135.0,91,49,2024-05-31,0.33,4,211,1,NA,0.33
14,69369,Entire two-bedroom apartment near Longwood,Roxbury,42.32546,-71.08894,Entire home/apt,100.0,29,118,2019-11-15,0.71,5,173,0,STR-415714,0.71
15,77681,Waterfall Room: Bunker Hill B&B,Charlestown,42.37865,-71.06373,Private room,140.0,29,71,2023-11-04,0.44,1,365,0,STR-415924,0.44
16,77691,Private room in Victorian house,Dorchester,42.29871,-71.05954,Private room,63.0,1,303,2024-10-13,1.8,8,364,4,STR-492781,1.8
17,163941,Fort Hill Inn  2 bed Duplex ApT!  Location!,Roxbury,42.32806,-71.09423,Entire home/apt,164.0,3,290,2024-12-02,1.79,10,144,22,STR-446659,1.79
18,179244,Beautiful room with private bath/#2,Dorchester,42.29871,-71.05954,Private room,70.0,1,110,2024-01-01,0.68,8,97,1,STR-457920,0.68
19,179245,2BR's Apartment in the center of Yerevan,Dorchester,42.29871,-71.05954,Entire home/apt,55.0,1,65,2023-12-29,0.4,8,36,1,Exempt: This listing is a hotel or motel,0.4
20,184893,City Oasis/sleeps 4 near historical sites,Charlestown,42.37823,-71.06778,Entire home/apt,250.0,91,0,NA,1.79,3,90,0,STR-539322,1.79
21,197727,"Great Boston neighborhood , Jamaica Plain",Jamaica Plain,42.31331,-71.12061,Private room,56.0,30,62,2024-11-23,0.38,1,125,5,NA,0.38
22,197972,Serene Studio in a Perfect Location,Jamaica Plain,42.31533,-71.11025,Entire home/apt,141.0,3,536,2024-12-01,3.34,2,117,54,STR-409453,3.34
23,205894,Large bedroom in Victorian House/Room D,Dorchester,42.29871,-71.05954,Private room,68.0,1,217,2024-10-08,1.34,8,364,2,STR-457920,1.34
24,210097,Treetop Haven in the City,Jamaica Plain,42.31685,-71.10867,Entire home/apt,141.0,3,312,2024-11-02,1.93,1,186,22,STR-545902,1.93
25,220676,Private room off the Freedom Trail.,North End,42.36614,-71.05226,Private room,225.0,3,346,2024-11-11,2.15,1,91,23,STR-454055,2.15
26,257588,BOSTON LUXURY FOR LESS!! NEAR BCEC,South Boston,42.33255,-71.04125,Entire home/apt,293.0,2,510,2024-12-01,3.37,1,235,48,STR-411297,3.37
27,297994,Your cozy stay in South Boston,South Boston,42.33583,-71.05271,Entire home/apt,190.0,3,67,2024-12-01,0.43,1,88,14,STR-564151,0.43
28,315982,"Beautiful Townhouse, 2 BR & 2 Bath",Dorchester,42.29871,-71.05954,Entire home/apt,156.0,1,121,2024-11-17,0.78,8,345,1,STR-457920,0.78
29,377474,Cozy Room in Beautiful Victorian House /E,Dorchester,42.29871,-71.05954,Private room,44.0,1,101,2024-11-24,0.67,8,253,32,STR-492781,0.67
30,447826,"Sweet Little House in JP, Boston",Jamaica Plain,42.31658,-71.11012,Private room,80.0,5,415,2024-11-18,2.73,1,234,24,STR-459697,2.73
31,496022,"Private Floor, Private Bath, City Location",Jamaica Plain,42.31062,-71.1176,Private room,184.68,91,16,2016-06-26,0.12,1,0,0,NA,0.12
32,507525,"Great location, sunny 1-bedroom!",Bay Village,42.34914,-71.06781,Entire home/apt,184.68,180,8,2013-07-01,0.05,1,0,0,NA,0.05
33,530983,14P | The Grand View | 5BR 2BA w/AC | House!,Dorchester,42.31368,-71.0612,Entire home/apt,200.0,30,65,2019-10-29,0.44,38,83,0,NA,0.44
34,533152,230B4 | The Penthouse Redline | 2BR 1B w/AC | Pvt,Dorchester,42.32212,-71.06096,Entire home/apt,125.0,30,63,2024-07-16,0.48,38,286,1,NA,0.48
35,579605,230B3  | The Mayhew Redline | 3BR 1B w/AC | Privat,Dorchester,42.32212,-71.06095,Entire home/apt,145.0,30,58,2023-08-14,0.39,38,210,0,NA,0.39
36,583255,"Boston Beauty, Walk to C and B line",Brighton,42.34096,-71.14647,Entire home/apt,184.68,91,11,2017-07-05,0.07,1,0,0,NA,0.07
37,601750,145R1 | The Redlands 1 | 2BR 1BA w/AC | Private,West Roxbury,42.29061,-71.15293,Entire home/apt,200.0,30,0,NA,1.79,38,358,0,NA,1.79
38,601763,25A2 | The Alameda 2 | 2BR 1BA w/AC & WD | Private,West Roxbury,42.29192,-71.15407,Entire home/apt,135.0,30,43,2022-12-31,0.46,38,285,0,NA,0.46
39,611081,Houseboat in Boston Harbor,Charlestown,42.37579,-71.04981,Entire home/apt,168.0,2,123,2024-12-01,1.22,3,326,27,STR-416892,1.22
40,619142,Getaway in Historic Charlestown,Charlestown,42.377338,-71.063095,Entire home/apt,175.0,3,189,2024-09-01,1.25,1,0,8,STR-529113,1.25
41,646087,1 Bed in Charming Southie Townhouse near BCEC,South Boston,42.33451,-71.04983,Private room,213.0,2,8,2022-05-30,0.08,1,173,0,STR-398090,0.08
42,708802,Boston / Charlestown Apartment,Charlestown,42.37826919555664,-71.06332397460938,Entire home/apt,207.0,2,491,2024-11-21,3.31,1,236,44,STR-401905,3.31
43,743211,Unique Find: At Home in the City!,Jamaica Plain,42.30702,-71.11283,Entire home/apt,689.0,4,87,2024-11-26,0.61,2,243,10,STR-454183,0.61
44,750438,"Private room for 1 person only, separate bathroom",Jamaica Plain,42.30733,-71.11129,Private room,99.0,2,297,2024-12-09,2.11,1,329,33,STR-523680,2.11
45,753446,6 miles away from downtown Boston!,Roslindale,42.28573,-71.12334,Private room,55.0,91,142,2019-07-27,1.26,1,365,0,STR-397984,1.26
46,801680,Fort Hill Inn -Cool Space-BOSTON'S BEST-1 bedroom,Roxbury,42.32795,-71.09412,Entire home/apt,112.0,3,74,2024-10-22,0.5,10,122,7,STR446651,0.5
47,820073,"Modern Loft, 1700 SqFt. Location!",Downtown,42.3558,-71.06104,Entire home/apt,244.0,2,198,2024-12-15,1.39,2,322,62,STR-411359,1.39
48,849408,"Perfect & Practical Boston Rental (1,500+ sqft)",Roslindale,42.29038,-71.13919,Entire home/apt,479.0,6,109,2024-10-28,0.82,2,56,16,STR-456742,0.82
49,863788,South End | 2BR 2BA | Pet OK | Walk Everywhere!,South End,42.344162,-71.070381,Entire home/apt,184.68,3,25,2024-05-21,0.18,1,0,2,STR-397937,0.18
50,891661,GORGEOUS WATER FRT NORTH END STUDIO,North End,42.3665,-71.05296,Entire home/apt,95.0,29,614,2024-10-28,4.29,1,307,1,STR-400168,4.29
51,894539,Private room in house,Roslindale,42.29017,-71.13169,Private room,100.0,29,63,2022-08-30,0.46,2,172,0,STR-408484,0.46
52,962610,Convenient Boston Hotel Alternative,West Roxbury,42.29175,-71.14096,Entire home/apt,155.0,6,104,2024-10-21,0.75,2,61,8,STR-523304,0.75
53,973695,Best Location Luxury Beacon Hill North End Condo,Downtown,42.35976409912109,-71.06116485595703,Private room,200.0,91,61,2022-09-11,0.44,1,365,0,NA,0.44
54,989163,"The Dalton - The Upton Boston, South End",South End,42.34308,-71.07316,Entire home/apt,183.0,2,86,2024-11-24,0.63,7,71,8,NA,0.63
55,1055627,Spacious 1 bdrm in Beacon Hill,Downtown,42.36194,-71.06256,Entire home/apt,184.68,91,8,2018-09-09,0.06,2,0,0,NA,0.06
56,1071235,Cozy JP Studio-Great Location!,Jamaica Plain,42.31653,-71.11049,Entire home/apt,135.0,3,380,2024-11-30,2.69,2,148,53,STR-409453,2.69
57,1077105,"Studio Apt. for Rent in South End,",South End,42.34022,-71.075,Entire home/apt,184.68,91,0,NA,1.79,1,0,0,NA,1.79
58,1090545,ExclusiveBackBayBostonCtr-EntireFloorBrick townhse,Back Bay,42.34475,-71.08204,Private room,214.0,29,117,2019-12-06,0.83,1,364,0,STR-398748,0.83
59,1109224,4 bedroom Victorian Condo unit,Jamaica Plain,42.32031,-71.1129,Entire home/apt,519.0,2,94,2024-10-06,0.68,1,298,3,STR-399217,0.68
60,1130279,"North End 3 BR Condo - Spacious, Perfect  Location",North End,42.36489,-71.05198,Entire home/apt,411.0,2,176,2024-11-30,1.25,1,332,30,STR-466324,1.25
61,1252489,Beacon Hill 1-Bed,Beacon Hill,42.35977,-71.06774,Entire home/apt,184.68,91,64,2017-08-28,0.46,1,0,0,NA,0.46
62,1275498,"The Washington - The Upton Boston, South End",South End,42.34294,-71.07304,Entire home/apt,248.0,2,113,2024-10-23,0.82,7,161,12,Exempt: This listing is a hotel or motel,0.82
63,1303261,Historic Beacon Hill,Beacon Hill,42.35714,-71.06968,Entire home/apt,425.0,91,23,2018-10-25,0.17,1,358,0,NA,0.17
64,1321422,2 bedroom 1st Floor Apartment in Savin Hill,Dorchester,42.30907,-71.04674,Entire home/apt,184.68,2,676,2024-10-05,4.86,2,0,61,STR-487240,4.86
65,1327725,Modern 2 BR in Brighton with Parking,Brighton,42.346,-71.1399,Entire home/apt,117.0,4,321,2023-08-12,2.31,1,46,0,STR-576368,2.31
66,1374434,"Authentic Boston, cozy room",Roxbury,42.32546,-71.08894,Private room,184.68,29,46,2023-12-20,0.34,5,142,0,STR-415714,0.34
67,1374466,"Real Boston, off the beaten track",Roxbury,42.32546,-71.08894,Private room,72.0,29,48,2024-05-03,0.36,5,143,3,STR-415714,0.36
68,1403408,Big Boston room,Roxbury,42.32546,-71.08894,Private room,75.0,29,30,2024-11-30,0.22,5,57,4,STR-415714,0.22
69,1425973,Historic brick Victorian row house,South End,42.34164,-71.07964,Private room,449.0,28,39,2023-10-22,0.28,1,179,0,STR-446784,0.28
70,1445064,Bright Sunlit bedroom near MGH labs/Downtown,Charlestown,42.38017,-71.06236,Private room,59.0,29,118,2024-11-25,0.86,1,241,4,NA,0.86
71,1472520,Andrea's Private Bath T Downtown,Dorchester,42.30856,-71.04646,Private room,184.68,1,725,2024-10-20,5.25,2,0,58,STR-487240,5.25
72,1544144,Charming Historic Home in Charlestown,Charlestown,42.37243,-71.06349,Entire home/apt,184.68,4,69,2023-10-29,0.91,1,0,0,STR-398614,0.91
73,1545185,Large Studio Apt w/ Full Kitchen & Bath + Parking!,Brighton,42.34873,-71.15693,Entire home/apt,105.0,2,264,2024-11-25,1.94,4,87,42,STR-383211,1.94
74,1551205,2 bed/2 bath in the heart of Boston,Fenway,42.34175,-71.08359,Entire home/apt,415.0,91,40,2016-10-21,0.29,1,364,0,NA,0.29
75,1596470,4-story Central Luxury-two blocks to Boston Common,Bay Village,42.34988,-71.06918,Entire home/apt,184.68,29,172,2024-02-13,1.68,1,0,4,STR-466119,1.68
76,1596664,"Fort Hill Top - 2Bk Private room,  brick townhouse",Roxbury,42.3256,-71.09413,Private room,59.0,31,26,2024-10-07,0.32,3,292,2,STR-383293,0.32
77,1644031,Large Private Bedroom & Bathroom by the Seaport,South Boston,42.33835,-71.0472,Private room,104.0,1,577,2024-11-24,5.37,1,89,80,STR-401177,5.37
78,1668313,Room in Rozzie-Twin Bed-Full Bath,Roslindale,42.28132,-71.13377,Private room,184.68,29,38,2022-02-26,0.28,2,0,0,NA,0.28
79,1682936,Charming 2 level Apartment,Roxbury,42.32382,-71.09641,Entire home/apt,184.68,30,236,2024-06-27,1.79,4,11,2,Exempt: This listing is a unit used for furnished institutional or business stays,1.79
80,1692573,Urban oasis trendy JP 'hood - suite,Jamaica Plain,42.31293,-71.11527,Entire home/apt,170.0,2,308,2024-12-16,2.27,1,334,30,STR-447499,2.27
81,1721016,Quiet Sunlit Attic Studio,Roslindale,42.28639,-71.13199,Entire home/apt,88.0,29,12,2024-08-03,0.11,2,336,2,NA,0.11
82,1724900,Charming sunlit house in Boston,Roslindale,42.28447,-71.13301,Entire home/apt,215.0,29,44,2020-11-30,0.32,2,363,0,NA,0.32
83,1732804,Private room/ MUST LOVE DOGS,Dorchester,42.29009,-71.05762,Private room,60.0,1,187,2024-10-27,1.37,1,345,8,STR-456144,1.37
84,1810172,Room for 2 in Rozzie - Full Bath,Roslindale,42.28127,-71.13304,Private room,184.68,29,47,2024-07-28,0.35,2,0,1,NA,0.35
85,1810397,3Bed/2.5Bath Luxury Triplex South End's Union Park,South End,42.34279,-71.0711,Entire home/apt,985.0,5,54,2024-11-12,0.42,1,160,4,STR-520680,0.42
86,1819994,"RIVERVIEWS-Walk Everywhere! Central, Safe LOCATION",Fenway,42.34981,-71.09476,Entire home/apt,265.0,91,2,2018-05-24,0.02,4,362,0,NA,0.02
87,1886037,Beautiful Penthouse in Beacon Hill,Beacon Hill,42.35985,-71.0717,Entire home/apt,184.68,91,1,2015-07-24,0.01,1,0,0,NA,0.01
88,1956275,"Beautiful 3 bd- 1.5 bath with parking, in Boston.",Jamaica Plain,42.3079,-71.12378,Entire home/apt,184.68,91,105,2019-05-20,0.79,1,0,0,NA,0.79
89,2014651,One Private Bedroom in J.P.,Jamaica Plain,42.30593,-71.10733,Private room,120.0,91,38,2019-09-02,0.28,1,365,0,NA,0.28
90,2014882,1 bedroom and private bathroom,Brighton,42.34245,-71.15758,Private room,184.68,3,339,2024-12-07,2.65,2,134,30,STR-545004,2.65
91,2021483,Spacious Updated 2 Bed Boston Condo w/ Deck,South Boston,42.3358,-71.04948,Entire home/apt,500.0,29,22,2024-07-21,0.21,8,179,2,STR-461452,0.21
92,2021489,Spacious Updated Boston Room/Condo,South Boston,42.33375,-71.04767,Private room,220.0,29,85,2023-08-11,0.8,8,365,0,STR-383155,0.8
93,2108738,Back Bay Studio,Back Bay,42.3504,-71.08891,Entire home/apt,184.68,91,32,2016-08-14,0.24,1,0,0,NA,0.24
94,2126053,"Studio, w kitchenette, in owner's Beacon Hill home",Beacon Hill,42.35771,-71.06978,Entire home/apt,190.0,29,128,2024-11-30,0.98,1,215,7,STR-395757,0.98
95,2141306,Modern 2Bd1BA in Downtown Boston,Downtown,42.3559,-71.05998,Entire home/apt,184.68,91,7,2017-06-18,0.05,1,0,0,NA,0.05
96,2183117,Discount Dec! / I bdrm in Boston/Allston/Brookline,Allston,42.34995,-71.13427,Entire home/apt,100.0,30,55,2024-10-07,0.46,1,106,3,NA,0.46
97,2215762,"The Clare - The Upton Boston, South End",South End,42.342121,-71.075073,Entire home/apt,219.0,3,91,2024-11-12,0.7,7,94,14,Exempt: This listing is a hotel or motel,0.7
98,2277821,Sparkling New 2BR / 2BA in Back Bay,Back Bay,42.34877,-71.08418,Entire home/apt,400.0,10,204,2024-11-30,1.56,16,90,21,STR-441410,1.56
99,2292495,furnished 1 bed apartment copley #5,South End,42.34125,-71.07604,Entire home/apt,110.0,33,80,2024-03-11,0.64,6,365,2,NA,0.64
100,2378421,Light-filled Private Suite on Beautiful Street,Jamaica Plain,42.31146,-71.11947,Entire home/apt,179.0,2,193,2024-10-28,1.49,1,156,15,STR-545109,1.49
101,2381143,Sunny 1 Bedroom,Brighton,42.34391,-71.15628,Entire home/apt,184.68,91,10,2024-05-17,0.08,3,133,1,NA,0.08
102,2395326,* Brownstone Classic South End,South End,42.34568,-71.07169,Entire home/apt,184.68,29,407,2020-09-20,3.13,1,0,0,STR-416118,3.13
103,2410846,"Sunny Beacon Hill, corner unit top floor",Downtown,42.35702,-71.06168,Entire home/apt,130.0,91,36,2020-11-25,0.28,1,255,0,NA,0.28
104,2495047,"The Tremont - The Upton Boston, South End",South End,42.34309,-71.07316,Entire home/apt,215.0,2,89,2024-11-18,0.71,7,16,12,Exempt: This listing is a hotel or motel,0.71
105,2526773,Charming comfort 1 BR / Studio,Brighton,42.34272,-71.15672,Entire home/apt,67.0,91,18,2022-08-20,0.14,3,101,0,NA,0.14
106,2672058,"Modern loft, walk to subway",Allston,42.35429,-71.13251,Private room,184.68,91,12,2016-09-09,0.09,1,0,0,NA,0.09
107,2701124,Charlesview Suites Back Bay,Back Bay,42.34492,-71.08482,Entire home/apt,280.0,29,74,2022-07-06,0.59,1,365,0,STR-416239,0.59
108,2723274,Lofty Modern 2BD Apt 800 sq ft,Bay Village,42.34868,-71.07043,Entire home/apt,184.68,29,26,2019-10-27,0.2,1,0,0,STR-398102,0.2
110,2864688,Beautiful 3 bedroom 2 bath apt in Charlestown,Charlestown,42.38148,-71.06967,Entire home/apt,450.0,91,0,NA,1.79,3,365,0,Exempt: This listing is a unit that has contracts with hospitals,1.79
111,2886933,BEAUTIFUL SINGLE FAMILY VICTORIAN in Hyde Park!,Hyde Park,42.26043,-71.11766,Entire home/apt,260.0,2,134,2024-11-04,1.04,1,13,11,STR-429200,1.04
112,3164650,2bd APT 20min from Downtown Boston,Hyde Park,42.23533,-71.13256,Entire home/apt,125.0,29,38,2024-03-15,0.3,11,111,1,NA,0.3
113,3193484,2 Minutes Walk  to the Red Line!,Dorchester,42.28814,-71.06889,Private room,50.0,30,13,2024-10-21,0.12,27,364,2,NA,0.12
114,3229255,1bd Boston apt - Convenient & quiet,Roslindale,42.28657,-71.13236,Entire home/apt,138.0,2,190,2024-12-09,1.5,1,118,34,STR-544893,1.5
115,3294152,"Garden Suite near subway, beach",Dorchester,42.31281,-71.06098,Entire home/apt,171.0,2,260,2024-11-10,2.04,3,245,11,STR-547060,2.04
116,3316049,Beautiful Junior 1-bedroom apartment,South End,42.34512,-71.06492,Entire home/apt,160.0,91,0,NA,1.79,1,179,0,NA,1.79
117,3343428,"AKBrownstone: custom-built, park garden view by T",Roxbury,42.32811,-71.09157,Private room,57.0,2,457,2024-12-13,4.18,6,49,64,STR-580450,4.18
118,3441982,Urban Travelers Modern Studio,Roxbury,42.31907,-71.09252,Entire home/apt,118.0,31,146,2024-09-29,1.93,5,69,7,STR-396299,1.93
119,3457722,"Sunlit w/ huge kitchen, parking & easy to downtown",Brighton,42.35564,-71.15746,Entire home/apt,184.68,29,55,2024-06-26,0.44,1,0,2,STR-544892,0.44
120,3463914,4th of July Dream Spot!,Back Bay,42.351,-71.08899,Entire home/apt,184.68,91,27,2016-07-17,0.21,1,0,0,NA,0.21
121,3520353,Luxury Beacon Hill Apartment 1-BR,Beacon Hill,42.35884,-71.06332,Entire home/apt,288.0,91,254,2024-10-31,2.01,1,363,1,NA,2.01
122,3521944,"Beautiful, Quiet, and Safe!",West Roxbury,42.29742,-71.157,Entire home/apt,184.68,91,3,2014-09-14,0.02,1,0,0,NA,0.02
123,3539510,230B2 | The Roseclair Redline | 3BR 1B w/AC | Pvt,Dorchester,42.32213,-71.06094,Entire home/apt,145.0,30,31,2019-06-13,0.25,38,49,0,NA,0.25
124,3544343,Beacon Hill!! Feet Fom State House,Downtown,42.35844,-71.06153,Entire home/apt,184.68,91,0,NA,1.79,1,0,0,NA,1.79
125,3602379,"Modern, Spacious 1BR for 4 - Easy Marathon Access!",Roxbury,42.32843,-71.09369,Entire home/apt,185.0,2,314,2024-11-30,2.53,5,160,40,STR-528095,2.53
126,3656168,Parking Close 2 Downtown Renovated,Roxbury,42.31676,-71.08,Private room,38.0,91,6,2018-12-17,0.05,31,365,0,NA,0.05
127,3672942,Private Boston Antique Suite,West Roxbury,42.27242,-71.16573,Entire home/apt,164.0,2,6,2024-08-05,0.89,1,2,6,STR-563142,0.89
128,3705824,Small Rm +walk-in closet Easy to Longwood/Downtown,Roxbury,42.31676,-71.08,Private room,35.0,91,0,NA,1.79,31,365,0,NA,1.79
129,3890373,Beacon Hill Fabulous One Bedroom Apartment,Beacon Hill,42.35792,-71.06432,Entire home/apt,125.0,29,253,2023-08-01,2.02,1,180,0,NA,2.02
130,3957602,"Entire 2nd floor, skylight suite is all yours!",Jamaica Plain,42.31016,-71.10582,Private room,184.68,29,129,2022-09-07,1.03,1,48,0,STR-399287,1.03
131,3965313,Minutes to Boston-Near Beach 69-1,East Boston,42.38679,-71.00271,Private room,42.0,91,90,2019-11-11,0.95,1,90,0,NA,0.95
132,3968797,Sunny bedroom in large quiet house,Roslindale,42.28969,-71.13183,Private room,95.0,3,72,2024-11-25,0.61,2,276,6,STR-522159,0.61
133,3969526,Winter Rates! Sensational South End-2BR no stairs,South End,42.33765,-71.07434,Entire home/apt,120.0,29,361,2024-12-07,2.89,1,66,3,NA,2.89
134,4000384,Sunlit room with private bath,Jamaica Plain,42.31826,-71.09956,Private room,110.0,2,226,2024-11-12,1.8,1,142,31,STR-529704,1.8
135,4089940,2BR North End Apt,North End,42.36721113952561,-71.05260243826824,Entire home/apt,229.0,9,61,2023-08-20,0.49,17,76,0,STR-550229,0.49
136,4090224,Sanitized Modern 3BD private home-near BCEC,South Boston,42.3357,-71.05395,Entire home/apt,284.0,1,1052,2024-12-15,8.47,1,259,124,STR-383708,8.47
137,4119345,Airy new apt for 2-6. Near subway. Free parking.,Jamaica Plain,42.31063344940129,-71.10855891982172,Entire home/apt,240.0,2,58,2024-11-17,0.48,1,272,30,STR-522672,0.48
138,4148586,Back Bay Charmer,Back Bay,42.35491,-71.07463,Entire home/apt,184.68,91,15,2015-10-27,0.13,1,0,0,NA,0.13
139,4150640,Beautiful Studio Apt in North End,North End,42.36674771902226,-71.05288415197064,Entire home/apt,123.0,29,28,2022-06-12,0.22,17,89,0,Exempt: This listing is a unit used for furnished institutional or business stays,0.22
140,4173285,"Bright, cozy bedroom in Victorian",Dorchester,42.28547,-71.06799,Private room,69.0,91,14,2024-12-01,0.12,1,268,1,NA,0.12
141,4233242,Quiet Artist's Retreat,Jamaica Plain,42.31246,-71.10793,Private room,105.0,29,49,2024-09-10,0.39,2,353,1,STR-416301,0.39
142,4257929,Two Bedroom Apartment in Kenmore Sq,Fenway,42.34853,-71.09256,Entire home/apt,184.68,91,0,NA,1.79,1,0,0,NA,1.79
143,4263736,AKBrownstone: Master Suite park view by T,Roxbury,42.32971,-71.0931,Private room,67.0,2,555,2024-12-15,4.47,6,35,78,STR-580450,4.47
144,4278067,Studio apart Tremont St South End #2,South End,42.34128,-71.07607,Entire home/apt,80.0,33,78,2024-10-26,0.63,6,195,4,NA,0.63
145,4291607,Great location!,Brighton,42.33678,-71.15237,Entire home/apt,184.68,91,2,2015-08-03,0.02,1,0,0,NA,0.02
146,4315439,Room Logan Airport  1/2 bathroom,East Boston,42.38829,-71.00437,Private room,100.0,100,5,2019-09-01,0.05,2,363,0,NA,0.05
147,4348422,Cozy Jamaica Plain Pad,Jamaica Plain,42.31128,-71.10981,Private room,184.68,91,0,NA,1.79,1,0,0,NA,1.79
148,4364925,large & grand 2 bedroom South End by Copley Sq #3,South End,42.34128,-71.07607,Entire home/apt,110.0,33,148,2023-12-29,1.2,6,239,1,NA,1.2
149,4364989,newly furn one bedroom by Copley #6,South End,42.34128,-71.07607,Entire home/apt,110.0,31,88,2024-11-27,0.75,6,190,6,NA,0.75
150,4410765,"Grt Location, Big 3 Bed, Nr all Colleges, parking",Brighton,42.35309,-71.14822,Entire home/apt,135.0,45,14,2024-08-10,0.13,1,304,2,NA,0.13
151,4460532,AKBrownstone: modern treetop skyline view by T,Roxbury,42.32942,-71.09149,Private room,51.0,2,445,2024-12-11,3.61,6,36,83,STR-580450,3.61
152,4461613,Perfectly Located Rental Near MGH & TD Garden #13,Beacon Hill,42.36017,-71.06346,Entire home/apt,123.0,1,218,2024-12-11,1.87,88,182,32,STR-415631,1.87
153,4461846,South End Studio Perfect for Work Travel #36,South End,42.34441,-71.07633,Entire home/apt,105.0,1,107,2024-11-17,0.92,88,187,7,STR-441258,0.92
154,4461901,"Stylish Downtown Studio in the SouthEnd, #8",South End,42.34447,-71.07644,Entire home/apt,116.0,29,172,2024-01-19,1.48,88,197,1,STR-415612,1.48
155,4500409,Boston’s Top Location: Newbury Street – #1,Back Bay,42.34982,-71.08264,Entire home/apt,89.0,29,164,2023-11-09,1.43,88,222,0,STR-445391,1.43
156,4555637,AKBrownstone: Loft rooftop views by T,Roxbury,42.32965,-71.0932,Private room,59.0,2,525,2024-12-14,4.27,6,16,76,STR-580450,4.27
157,4560053,Fort Hill Inn Historic Beauty! Minutes to Center!,Roxbury,42.32397,-71.09085,Entire home/apt,225.0,3,113,2024-10-23,0.93,10,251,9,STR-446652,0.93
158,4566095,"The Upton South End, The Copley Suite",South End,42.34301,-71.07304,Entire home/apt,200.0,120,30,2024-11-24,0.25,7,210,8,Exempt: This listing is a hotel or motel,0.25
159,4568116,AKBrownstone: cozy private studio by T,Roxbury,42.32967,-71.09328,Entire home/apt,72.0,2,832,2024-12-09,6.77,6,47,102,STR-580450,6.77
160,4593974,Parking EZ 2 Downtown/Longwood Larg,Roxbury,42.31676,-71.08,Private room,39.0,91,7,2018-02-15,0.06,31,365,0,NA,0.06
161,4593985,Parking Renovated Close to Downtown,Roxbury,42.31676,-71.08,Private room,39.0,91,1,2015-06-20,0.01,31,365,0,NA,0.01
162,4602191,2 Bd/Bth Apt in Prime Location Gorgeous Water View,West End,42.36452,-71.06928,Entire home/apt,299.0,75,17,2021-06-04,0.17,11,267,0,Exempt: This listing is a unit used for furnished institutional or business stays,0.17
163,4614037,Boston RooftopTerrace/ 2 Bed / By Logan airport,East Boston,42.378693,-71.035088,Entire home/apt,186.0,1,416,2024-11-24,3.6,3,334,62,STR-398048,3.6
164,4623114,South End Studio Perfect for Work Travel #46,South End,42.34441,-71.07633,Entire home/apt,105.0,1,164,2024-11-03,1.45,88,192,14,STR-441249,1.45
165,4624582,Parking Easy to downtown/Longwood,Roxbury,42.31676,-71.08,Private room,39.0,91,4,2016-10-31,0.03,31,365,0,NA,0.03
166,4625517,GreenT&bus stops in front of door,Mission Hill,42.33245,-71.10642,Private room,184.68,91,0,NA,1.79,1,0,0,NA,1.79
167,4630071,Charming studio,Brighton,42.34341,-71.15451,Entire home/apt,60.0,91,19,2024-05-31,0.2,3,255,2,NA,0.2
168,4662379,Historic House modernized,Brighton,42.34765,-71.15509,Entire home/apt,318.0,3,209,2024-12-08,1.71,2,283,32,STR-470547,1.71
