,id,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,review_per_month
527,15296865,"Spectacular 1 Bedroom Condo, Walkable  to Anywhere",Bay Village,42.34887,-71.06924,Entire home/apt,184.68,91,0,NA,1.79,1,0,0,NA,1.79
528,15376003,Spacious guest suite on Dorchester Heights,South Boston,42.33385,-71.04569,Private room,137.0,2,363,2024-11-24,3.68,1,85,48,STR-383389,3.68
529,15397125,Luxury 4BR | 2.5BA Back Bay Duplex,Back Bay,42.34983,-71.08955,Entire home/apt,793.0,10,154,2024-11-01,1.55,16,76,28,NA,1.55
530,15453527,"Renovated Clean house, Orange Line, EZ to Longwood",Roxbury,42.31313,-71.09335,Private room,39.0,91,5,2018-01-28,0.05,31,365,0,NA,0.05
531,15521407,Large Private room in Savin Hill,Dorchester,42.30918,-71.04643,Private room,75.0,1,284,2024-12-03,2.87,4,290,46,STR-383505,2.87
532,15559436,"Beautifully renovated 1 Bed Apt. - Allston, Boston",Allston,42.3533,-71.12833,Entire home/apt,120.0,29,401,2022-12-02,4.17,1,365,0,STR-416677,4.17
533,15660279,Lrg 4 Bdrm Prvt. Patio Quiet Top Location Parking,Bay Village,42.35027,-71.06853,Entire home/apt,175.0,2,313,2024-11-24,3.17,2,77,16,STR-445531,3.17
534,15710997,Large relaxing apt. next to metro 20min to Boston,Dorchester,42.29303,-71.06693,Entire home/apt,120.0,31,135,2024-10-20,1.42,2,87,1,STR-409565,1.42
535,15714436,Family Home Near Downtown + Beautiful Harbor Views,East Boston,42.36524,-71.0308,Entire home/apt,184.68,29,32,2021-04-28,0.41,1,0,0,STR-439247,0.41
536,15773389,Single room across from Fenway Park,Fenway,42.34773,-71.09399,Private room,184.68,91,2,2017-06-23,0.02,1,0,0,NA,0.02
537,15819226,Back Bay Condo on Marlborough Street!,Back Bay,42.35125,-71.08667,Entire home/apt,500.0,29,31,2022-05-29,0.33,1,363,0,STR-416852,0.33
538,15821724,"Upscale 2 Bdrm Suite: Kitchen, Spa Bath, Laundry",Dorchester,42.28,-71.06983,Entire home/apt,115.0,5,228,2024-12-14,2.86,1,157,30,STR-544912,2.86
539,15832498,Victorian Treetop Apartment - Close to Everything!,Jamaica Plain,42.31764,-71.10922,Entire home/apt,341.0,7,74,2024-10-30,0.9,1,324,4,STR-402110,0.9
540,15901362,Fabulous North End 3 BR | 1.5 BA in Little Italy,North End,42.36753,-71.05266,Entire home/apt,184.68,7,181,2024-12-04,1.84,16,92,22,STR-441402,1.84
541,15974807,Sparkling Condo With Modern Amenities,Allston,42.3587157,-71.1326206,Entire home/apt,184.68,29,186,2024-08-15,1.89,2,0,46,STR-568835,1.89
542,15981694,"Luxury, Comfortable Apartment in Fenway",Fenway,42.34497,-71.10001,Entire home/apt,184.68,91,0,NA,1.79,1,0,0,NA,1.79
543,15985435,Charming Charlestown Condo (Pet Friendly/Peloton)!,Charlestown,42.37294,-71.06478,Entire home/apt,150.0,31,52,2024-12-13,0.56,1,269,2,NA,0.56
